"Var","N","Mean","SD","Freq","Perc"
"PER_CROSS_A_Did not leave; stayed at the transit stop to board another transit vehicle",1736,NA,NA,23,1.32488479262673
"PER_CROSS_A_Cannot see from the view of the video",1736,NA,NA,55,3.16820276497696
"PER_CROSS_A_Other",1736,NA,NA,20,1.15207373271889
"PER_CROSS_B_At an intersection or a marked crossing",1804,NA,NA,661,36.6407982261641
"PER_CROSS_B_Mid-block, away from an intersection or a marked crossing",1804,NA,NA,33,1.82926829268293
"PER_CROSS_B_Did not cross a street; turned a corner instead",1804,NA,NA,91,5.04434589800443
"PER_CROSS_B_Did not cross a street; walked towards the transit stop along the street",1804,NA,NA,467,25.8869179600887
"PER_CROSS_B_Did not cross a street; came from an adjacent land use (business, home, etc.)",1804,NA,NA,384,21.2860310421286
"PER_CROSS_B_Did not arrive; was already at the transit stop after alighting another transit vehicle",1804,NA,NA,50,2.77161862527716
"PER_CROSS_B_Cannot see from the view of the video",1804,NA,NA,99,5.48780487804878
"PER_CROSS_B_Other",1804,NA,NA,19,1.05321507760532
"PER_STREET_MainSt",1669,NA,NA,1252,75.0149790293589
"PER_STREET_SideSt",1669,NA,NA,417,24.9850209706411
"PER_STREET_Other",1669,NA,NA,0,0
"PER_BEH_OUTSIDE_TRUE",1668,NA,NA,72,4.31654676258993
"PER_BEH_CHNGSPD_TRUE",1668,NA,NA,38,2.27817745803357
"PER_BEH_PAUSMID_TRUE",1668,NA,NA,21,1.2589928057554
"PER_BEH_DISTRAC_TRUE",1668,NA,NA,10,0.599520383693046
"PER_BEH_CRFRONT_TRUE",1668,NA,NA,6,0.359712230215827
"PER_BEH_CRBEHIN_TRUE",1668,NA,NA,16,0.959232613908873
"CONF_LOC_Entering",87,NA,NA,40,45.9770114942529
"CONF_LOC_Middle",87,NA,NA,33,37.9310344827586
"CONF_LOC_Exiting",87,NA,NA,13,14.9425287356322
"CONF_LOC_Other",87,NA,NA,1,1.14942528735632
"VEH_MOVE_Driving straight",87,NA,NA,50,57.4712643678161
"VEH_MOVE_Turning right",87,NA,NA,27,31.0344827586207
"VEH_MOVE_Turning left",87,NA,NA,10,11.4942528735632
"VEH_MOVE_Other",87,NA,NA,0,0
"VEH_REACT_No obvious reaction",87,NA,NA,54,62.0689655172414
"VEH_REACT_Driver fully stopped",87,NA,NA,17,19.5402298850575
"VEH_REACT_Driver slowed down",87,NA,NA,14,16.0919540229885
"VEH_REACT_Driver sped up",87,NA,NA,0,0
"VEH_REACT_Driver swerved",87,NA,NA,1,1.14942528735632
"VEH_REACT_Cannot see from the view of the video",87,NA,NA,1,1.14942528735632
"PED_REACT_No obvious reaction",87,NA,NA,36,41.3793103448276
"PED_REACT_Stopped and waited for the vehicle",87,NA,NA,39,44.8275862068966
"PED_REACT_Slowed down to avoid collision",87,NA,NA,6,6.89655172413793
"PED_REACT_Sped up or ran to avoid collision",87,NA,NA,5,5.74712643678161
"PED_REACT_Changed direction",87,NA,NA,1,1.14942528735632
"PED_REACT_Cannot see from the view of the video",87,NA,NA,0,0
"CONF_SEV",78,1.83333333333333,0.931646589627938,NA,NA
"TimeA1",1736,8.97119815668203,10.1630669968575,NA,NA
"TimeA2",1736,23.1359447004608,30.5153612476622,NA,NA
"TimeA3",1736,9.73732718894009,98.2051555523408,NA,NA
"TimeA4",974,65.8501026694045,45.4349779347122,NA,NA
"TimeB1",694,35.3832853025937,82.1623533206561,NA,NA
"TimeB2",1797,369.87979966611,406.407104990848,NA,NA
"TimeB3",1804,10.5781596452328,17.0397723961079,NA,NA
"TimeB4",1804,26.8553215077605,28.2657074155869,NA,NA
"TimeC1",1270,14.4173228346457,5.61636826712146,NA,NA
"TimeC2",77,7.05194805194805,13.2057564241549,NA,NA
"TimeC3",78,7.94871794871795,5.97809298502422,NA,NA
"TimeC4",87,0.103448275862069,2.53824001814946,NA,NA
